time,trueDist,trueAngle,estimatedDist,estimatedAngleDg
2.38778E+12,3,-40,3.452,-45.0344827
2.38821E+12,3,-40,3.414,-48.35763791
2.38864E+12,3,-40,3.433,-40.04974988
2.3891E+12,3,-40,3.423,-43.48749665
2.38952E+12,3,-40,3.414,-39.76327098
2.39035E+12,3,-40,3.423,-36.26822843
2.39078E+12,3,-40,3.423,-39.47679208
2.39121E+12,3,-40,3.433,-39.07572163
2.39164E+12,3,-40,3.423,-38.67465117
2.39252E+12,3,-40,3.442,-43.60208821
2.39296E+12,3,-40,3.423,-43.60208821
2.39336E+12,3,-40,3.414,-36.95577779
2.39382E+12,3,-40,3.433,-46.00851095
2.39422E+12,3,-40,3.423,-43.31560931
2.39465E+12,3,-40,3.433,-40.90918657
2.39551E+12,3,-40,3.442,-38.0443976
2.39597E+12,3,-40,3.433,-37.29955246
2.39637E+12,3,-40,3.414,-31.68456607
2.39683E+12,3,-40,3.442,-43.25831353
2.39765E+12,3,-40,3.423,-38.10169338
2.39851E+12,3,-40,3.442,-37.52873558
2.39894E+12,3,-40,3.433,-47.32631388
2.4E+12,3,-40,3.414,-39.59138364
2.40023E+12,3,-40,3.423,-39.30490475
2.40066E+12,3,-40,3.442,-34.9504255
2.40109E+12,3,-40,3.414,-42.2269895
2.40155E+12,3,-40,3.423,-44.11775023
2.40195E+12,3,-40,3.414,-37.24225668
2.40238E+12,3,-40,3.423,-45.95121517
2.40281E+12,3,-40,3.423,-44.86259536
2.40324E+12,3,-40,3.395,-46.86794764
2.4037E+12,3,-40,3.442,-46.12310251
2.4041E+12,3,-40,3.405,-46.81065186
2.40503E+12,3,-40,3.423,-37.98710182
2.40667E+12,3,-40,3.442,-40.39352456
2.4071E+12,3,-40,3.452,-42.85724308
2.40753E+12,3,-40,3.461,-44.175046
2.40799E+12,3,-40,3.442,-41.36755281
2.40839E+12,3,-40,3.452,-42.7999473
2.40882E+12,3,-40,3.423,-44.06045445
2.40928E+12,3,-40,3.442,-42.45617262
2.40968E+12,3,-40,3.433,-42.16969372
2.41011E+12,3,-40,3.423,-40.62270767
2.41054E+12,3,-40,3.433,-41.99780638
2.41097E+12,3,-40,3.423,-44.28963756
2.41143E+12,3,-40,3.442,-40.85189079
2.41183E+12,3,-40,3.461,-47.15442654
2.41226E+12,3,-40,3.442,-38.73194695
2.41315E+12,3,-40,3.433,-44.23234178
2.41355E+12,3,-40,3.433,-39.59138364
2.41398E+12,3,-40,3.442,-35.8098622
2.41569E+12,3,-40,3.414,-39.41949631
2.41616E+12,3,-40,3.423,-45.72203205
2.41655E+12,3,-40,3.405,-40.278933
2.41698E+12,3,-40,3.442,-35.2369044
2.41741E+12,3,-40,3.423,-42.57076418
2.41784E+12,3,-40,3.395,-36.66929889
2.41847E+12,3,-40,3.452,-38.15898916
2.4187E+12,3,-40,3.423,-42.57076418
2.41913E+12,3,-40,3.423,-38.84653851
2.41956E+12,3,-40,3.461,-47.61279278
2.41999E+12,3,-40,3.442,-36.21093265
2.42042E+12,3,-40,3.442,-37.4714398
2.42147E+12,3,-40,3.461,-40.85189079
2.42171E+12,3,-40,3.414,-45.09177848
2.42214E+12,3,-40,3.423,-32.54400276
2.42257E+12,3,-40,3.442,-46.6960603
2.423E+12,3,-40,3.452,-39.13301741
2.42342E+12,3,-40,3.442,-47.21172232
2.42428E+12,3,-40,3.433,-44.34693334
2.42471E+12,3,-40,3.442,-39.59138364
2.42518E+12,3,-40,3.414,-43.60208821
2.42557E+12,3,-40,3.452,-42.39887684
2.42649E+12,3,-40,3.433,-39.24760897
2.42686E+12,3,-40,3.433,-37.81521448
2.42729E+12,3,-40,3.452,-41.08107391
2.42772E+12,3,-40,3.442,-45.89391939
2.42815E+12,3,-40,3.414,-36.89848201
2.42858E+12,3,-40,3.452,-45.77932783
2.42948E+12,3,-40,3.423,-38.27358071
2.4299E+12,3,-40,3.414,-35.75256642
2.4303E+12,3,-40,3.423,-41.31025703
2.43073E+12,3,-40,3.442,-45.43555315
2.43116E+12,3,-40,3.442,-39.30490475
2.43162E+12,3,-40,3.395,-36.49741155
2.43244E+12,3,-40,3.423,-47.09713076
2.43287E+12,3,-40,3.433,-36.21093265
2.4333E+12,3,-40,3.442,-44.80529958
2.43465E+12,3,-40,3.433,-40.73729923
2.43502E+12,3,-40,3.452,-39.93515832
2.43545E+12,3,-40,3.433,-45.09177848
2.43588E+12,3,-40,3.423,-36.38281999
2.43631E+12,3,-40,3.433,-45.43555315
2.43765E+12,3,-40,3.452,-46.12310251
2.43803E+12,3,-40,3.442,-39.87786254
2.43846E+12,3,-40,3.423,-38.61735539
2.43889E+12,3,-40,3.442,-41.31025703
2.43932E+12,3,-40,3.423,-47.44090544
2.43975E+12,3,-40,3.442,-42.97183463
2.44066E+12,3,-40,3.423,-42.85724308
2.44107E+12,3,-40,3.423,-33.63262257
2.44146E+12,3,-40,3.452,-39.64867942
2.44193E+12,3,-40,3.414,-36.21093265
2.44232E+12,3,-40,3.442,-37.87251026
2.44299E+12,3,-40,3.442,-34.89312972
2.44318E+12,3,-40,3.433,-35.75256642
2.44361E+12,3,-40,3.442,-41.02377813
2.44404E+12,3,-40,3.433,-40.45082034
2.44662E+12,3,-40,3.433,-39.76327098
2.44708E+12,3,-40,3.433,-37.1849609
2.44748E+12,3,-40,3.442,-44.23234178
2.44791E+12,3,-40,3.414,-43.37290509
2.44876E+12,3,-40,3.414,-47.38360966
2.44919E+12,3,-40,3.433,-37.87251026
2.44962E+12,3,-40,3.452,-40.68000345
2.45005E+12,3,-40,3.414,-32.20022809
2.45052E+12,3,-40,3.433,-38.44546805
2.45091E+12,3,-40,3.452,-41.36755281
2.45134E+12,3,-40,3.433,-44.86259536
